"2012/03834/TREE","21/11/2012","47 Cloncurry Street London SW6 6DT","Front garden - remove Cherry tree","Application Approved",""
"2012/03848/NMAT","15/11/2012","Flat A First Floor 45 Haldane Road London SW6 7ET","Non-Material Minor Amendment to Planning Permission 2011/02511/FUL granted on 19 October 2011 for th...","Application Approved",""
"2012/03706/TREE","14/11/2012","17 Applegarth Road London W14 0HY","Rear garden - remove mature Ailanthus altissima","Pending Decision",""
"2012/03678/TREE","08/11/2012","199 Hammersmith Grove London W6 0NP","Rear of premises. Evergreen privet, reduce crown by 32%.","Application Approved",""
"2012/03645/TREE","08/11/2012","Flat 4 Albion House 39 St Peter's Square London W6 9NN","Front garden. Robinia psuedoacacia, pollard (5 day notice; dead or dying tree)","Application Approved",""
"2012/03628/TREE","07/11/2012","25 Bowerdean Street London SW6 3TN","Front garden. Lawsons Cypress, trim by around 30%. Rear garden. Pittosporum, trim by around 30%.","Application Approved",""
"2012/03561/TREE","01/11/2012","24 Racton Road London SW6 1LP","Rear garden. Quince (ID 1), reduce crown height and spread by approximately 1-1.5 metres to renovate...","Application Approved",""
"2012/03629/NMAT","31/10/2012","19 Palace Mansions Earsby Street London W14 8QW","Non-Material Amendment to Planning Permission 2012/02015/FUL granted on 6 August 2012 for the insta...","Application Approved",""
"2012/03537/TREE","30/10/2012","19 Hurlingham Gardens London SW6 3PH","Rear garden. Cypress, tidy up snags; reduce height by up to 2 metres and reshape into a rounded crow...","Application Approved",""
"2012/03536/TREE","30/10/2012","17 Hurlingham Gardens London SW6 3PH","Rear garden. Prunus, reduce height by 1.5 - 2 metres; reduce laterals by up to 1.5 metres to reshape...","Application Approved",""
"2012/03531/TREE","30/10/2012","Hurlingham Club Ranelagh Gardens London SW6 3PR","Sycamore in Play Area - Crown lift by removal of 1 x low limb and reduction of limb over play area P...","Application Approved",""
"2012/03528/TREE","30/10/2012","79 Inglethorpe Street London SW6 6NU","Rear Garden. Purple Plum and Box Elder, fell as close to current ground level as possible, treat stu...","Application Approved",""
"2012/03527/TREE","30/10/2012","19 Girdlers Road London W14 0PS","Front garden. Limes (2), secondary pollard back to previous pruning points by reducing laterals by u...","Application Approved",""
"2012/03526/TREE","30/10/2012","17 Girdlers Road London W14 0PS","Front garden. 1) Silver birches (four), prune. 2) Silver birches (two), install larger tree stakes t...","Application Approved",""
"2012/03550/OBS","26/10/2012","Energy Recovery Centre Channel Gate Road London","Construction of an energy recovery centre comprising a single purpose designed building to provide a...","No Objection to Proposal  (OBS only)",""
"2012/03840/TREE","25/10/2012","BBC Television Centre Wood Lane London W12 7RJ","BBC Television Centre. 2 trees, fell. 14 trees, prune (see schedule or works)","Application Approved",""
"2012/03547/NMAT","25/10/2012","19 Bettridge Road London SW6 3QH","Non-material minor amendment to Planning Permission 2012/01741FUL granted 16th July 2012 for the ere...","Application Approved",""
"2012/03517/CLP","24/10/2012","71 Primula Street London W12 0RF","Use of part of the first floor level for a private chauffeur service, on the basis that: (i) No othe...","Application Approved",""
"2012/03456/CLP","24/10/2012","33 Carthew Road London W6 0DU","Erection of a single storey rear extension, to the side of the existing back addition.","Application Withdrawn",""
"2012/03441/CLP","23/10/2012","8 Flanchford Road London W12 9ND","Installation of a flue to the rear elevation.","Application Approved",""
"2012/03474/NMAT","19/10/2012","10 Quarrendon Street London SW6 3SU","Non-material minor amendment to Planning Permission 2011/02472/FUL granted 27 September 2011 for the...","Application Refused",""
"2012/03428/FUL","19/10/2012","St Pauls Girls School Brook Green London W6 7BS","Installation of handrails outside the front entrance.","Application Approved",""
"2012/03427/LBC","19/10/2012","St Pauls Girls School Brook Green London W6 7BS","Installation of handrails inside and outside the front entrance.","Application Approved",""
"2012/03435/TREE","18/10/2012","4 Sinclair Road London W14 0NH","Rear garden. 2 London Plane trees, 30% reduction away from building.","Application Lapsed (No Further Action)",""
"2012/03431/TREE","18/10/2012","2 Sinclair Road London W14 0NH","Rear garden. London Plane, 30% reduction away from building.","Application Lapsed (No Further Action)",""
"2012/03416/ADV","18/10/2012","121 - 123 Askew Road London W12 9AU","Display of internally illuminated fascia signs fronting Askew Road and Laurence Mews; display of an ...","Application Approved",""
"2012/03385/FUL","18/10/2012","98B Townmead Road London SW6 2SG","Minor amendments to previously approved application 2012/01789/FUL for the Erection of a rear roof e...","Application Approved",""
"2012/03383/CLP","18/10/2012","4 Knivett Road London SW6 1JH","Internal alterations to basement flat to facillitate conversion into a single dwelling house.","Application Approved",""
"2012/03378/TREE","18/10/2012","7 Hestercombe Avenue London SW6 5LL","Rear Garden - Beech - Crown reduce back to previous reduction points","Application Lapsed (No Further Action)",""
"2012/03376/FUL","18/10/2012","27 Cardross Street London W6 0DP","Retention of a part two storey, part one storey rear extension at ground and first floor levels (ame...","Application Approved",""
"2012/03510/TREE","17/10/2012","Linden House 60 Upper Mall London W6 9TA","Boatyard 1) Sycamores (3), fell to ground by sectional takedown. Front left corner 2) Sycamore, redu...","Application Lapsed (No Further Action)",""
"2012/03464/TREE","17/10/2012","596 King's Road London SW6 2DX","Rear. 1) Pear, reduce and re-shape crown all round 20 - 25%; prune back low stem by 50% to new growi...","Application Lapsed (No Further Action)",""
"2012/03462/TREE","17/10/2012","20A Caithness Road London W14 0JA","Rear garden. Ash, re-pollard to main trunk knuckles/previous pollard points; clean out lower crown a...","Application Lapsed (No Further Action)",""
"2012/03423/NMAT","17/10/2012","55 Campana Road London SW6 4AT","Non-Material Minor Amendment to Planning Permission 2012/00192/FUL granted on 15 March 2012 for the ...","Application Approved",""
"2012/03367/TREE","17/10/2012","37 Sinclair Road London W14 0NS","Rear  - Lime #1 adj. to boundary with No 35 - Reduce crown by approx 3-4m Lime #2 adj boundary with ...","Application Lapsed (No Further Action)",""
"2012/03366/TREE","17/10/2012","35 Sinclair Road London W14 0NS","Rear garden - basement flat   Lime - reduce crown by approx 3-4m from height; strip Ivy from crown b...","Application Lapsed (No Further Action)",""
"2012/03364/FUL","17/10/2012","4 Rowan Terrace London W6 7DZ","Erection of a single storey rear extension, to the side and rear of the existing back addition, foll...","Application Approved",""
"2012/03359/TREE","17/10/2012","17 Rylett Road London W12 9SS","1- Mulberry- Remove dead branches. Reduce remainder of tree by 2ft (back to growth points). 2- Bay T...","Application Lapsed (No Further Action)",""
"2012/03351/FUL","17/10/2012","11 Munster Road London SW6 4ER","Erection of a single storey rear extension, to the side and rear of the existing back addition.","Application Approved",""
"2012/03346/CLE","17/10/2012","71 Anselm Road London SW6 1LH","Use of the flat roof to the rear at first floor level as a terrace.","Application Approved",""
"2012/03404/CLP","16/10/2012","2 Grove Mews London W6 7HS","Alterations to windows at ground and first floor levels to front and rear elevations; installation o...","Application Refused",""
"2012/03393/FUL","16/10/2012","13 And 15 Orbain Road London SW6 7JZ","Extensions and alterations to both at 13 and 15 Orbain Road including: erection of rear roof extensi...","Application Approved",""
"2012/03390/FUL","16/10/2012","45 Breer Street London SW6 3HE","Erection of a rear roof extension, including installation of 2 rooflights into front roof slope ; er...","Application Approved",""
"2012/03342/TEL56","16/10/2012","O/S 105 Glenthorne Road London W6 0LJ","Installation of BT Broadband cabinet.","Application Approved",""
"2012/03341/ADV","16/10/2012","109 King Street London W6 9JG","Retention of an internally illuminated fascia sign and internally illuminated projecting sign.","Application Approved",""
"2012/03339/FUL","16/10/2012","24 Wormholt Road London W12 0LS","Erection of a rear roof extension; erection of a rear extension over part of the existing back addit...","Application Approved",""
"2012/03338/FUL","16/10/2012","22 Wormholt Road London W12 0LS","Erection of a rear roof extension; erection of a rear extension over part of the existing back addit...","Application Approved",""
"2012/03337/FUL","16/10/2012","24 Beltran Road London SW6 3AJ","Replacement of french doors in existing rear roof extension with dormer window; erection of single s...","Application Approved",""
"2012/03333/TREE","16/10/2012","10 Finlay Street London SW6 6HD","Rear garden. T2) Magnolia, thin crown by 15%. T3) Hawthorn, reduce back to previous points of reduct...","Application Lapsed (No Further Action)",""
"2012/03332/FUL","16/10/2012","38 Gilstead Road London SW6 2LG","Erection of a single storey rear extension, to the side and rear of the existing back addition.","Application Approved",""
